"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05205","hsa05205","Proteoglycans in cancer",197,0.42556757958435,1.51278631651914,0.000343958690879987,0.00179166541965844,0.00115643613273083,2883,"tags=29%, list=17%, signal=24%","1277/1278/7040/3059/4313/4060/5336/2335/5329/4478/7097/9138/2719/3339/4318/1634/3791/2535/3082/51196/3481/10855/22808/5328/7057/5293/7480/7484/5335/7078/3593/7482/7074/54776/7409/60/2099/3316/5595/7472/8503/2260/7483/3678/6300/7410/387/7471/2002/7448/967/3688/117581/7481/7042/71/7124"
"hsa04612","hsa04612","Antigen processing and presentation",70,0.510402260944159,1.68841659867977,0.000719926009882496,0.00364136489056509,0.00235033052806795,4423,"tags=49%, list=27%, signal=36%","920/10437/3115/972/3113/3108/1520/3123/4261/3122/3117/3119/3111/3112/3127/3133/4801/3118/3310/3134/3306/3120/7124/6891/5993/5721/1508/925/6892/3824/3809/3821/5720/3458"
"hsa04620","hsa04620","Toll-like receptor signaling pathway",98,0.483230800125328,1.65452526492284,0.000712219647690685,0.00364136489056509,0.00235033052806795,5164,"tags=58%, list=31%, signal=40%","1513/3663/23643/942/929/6696/941/6348/7097/51311/51284/1326/6351/10333/5293/414062/6349/3593/9560/3455/7096/54106/5595/8503/6300/3661/6352/3654/3553/3929/3569/4283/4792/7124/8517/1432/3592/3716/8772/3665/3627/7099/5601/353376/841/7297/3551/3456/958/5600/6773/51135/5970/3452/7187/5606/5296"
"hsa00785","hsa00785","Lipoic acid metabolism",18,-0.619178458158881,-2.10956797540712,0.000817627515593873,0.00401904229496143,0.00259410360766625,2658,"tags=78%, list=16%, signal=65%","11019/2731/1743/1738/593/5162/1737/55753/4967/275/55526/51601/1629/594"
"hsa04625","hsa04625","C-type lectin receptor signaling pathway",104,0.457734444949249,1.57237671553384,0.000817378118415176,0.00401904229496143,0.00259410360766625,4121,"tags=45%, list=25%, signal=34%","2207/5336/64581/64170/4046/6361/1263/114548/6367/3586/30835/22808/9261/26253/5293/3593/5971/4776/4772/6850/834/1959/5595/338339/8503/8844/6300/3553/387/3569/4792/4791/51561/29108/7124/9020/8517/1432/3592/53342/808/868/51806/5601/93978/841/3551"
"hsa04020","hsa04020","Calcium signaling pathway",249,0.397297965757935,1.43248625161846,0.00084974052501406,0.00411888115597093,0.00265854491744165,5452,"tags=46%, list=33%, signal=31%","5159/2324/5155/3357/5330/5153/4846/2149/4803/196883/5336/135/8817/109/7852/113/8877/3356/3269/6915/5156/2321/5731/3791/3270/3082/51196/8911/5021/5260/623/6869/624/115/5335/3360/4776/84876/814/4772/2254/2668/5331/57105/5026/5724/57172/57118/7424/2260/80228/773/147/2915/85366/53373/3363/57192/1909/552/113026/5136/2911/7423/5027/136/9630/7134/808/9965/4914/5350/22953/2252/56413/26291/51806/116444/6547/5582/778/6261/80310/4915/5566/155/4233/775/4923/886/2246/815/7419/4485/293/8074/10800/2778/2905/219931/5733/4773/5579/7125/3274/2264/492/7201/845/4486/1910/9127/2247/2255/8822"
"hsa05202","hsa05202","Transcriptional misregulation in cancer",170,0.42462117094823,1.50175290073743,0.0008720335365612,0.0041690370446556,0.00269091819501221,3523,"tags=35%, list=21%, signal=28%","6688/2209/2313/942/3684/929/1436/4066/4005/3486/5914/7185/597/7048/2321/1031/7102/890/3087/4318/4208/7030/6935/5328/4314/2530/1848/2322/1647/3695/1053/578/4286/1649/581/2521/330/862/6929/5546/5468/3569/1051/8900/1025/3560/26471/55589/894/4353/7850/1991/4613/861/5371/7709/3195/2115/3002/4914"
"hsa05164","hsa05164","Influenza A",158,0.425478730105126,1.50147890660038,0.000891593497113625,0.0042049477093602,0.00271409684754361,4994,"tags=47%, list=30%, signal=34%","3115/3113/3108/3123/4261/114548/3122/3838/51284/3117/3119/3606/3111/3112/4600/91543/5293/3127/3383/3593/7177/3455/64499/834/60/3118/6347/5595/578/4599/8503/581/3661/6352/4793/3553/90865/3569/23430/4792/3120/29108/7132/71/7124/1019/8517/3592/3716/8772/3665/5371/4940/356/3627/7099/9021/4938/637/841/7297/3551/29107/3458/3456/836/5644/293/11100/6773/51135/5970/3452/5579/7187"
"hsa01200","hsa01200","Carbon metabolism",108,-0.313386884269172,-1.60206954771534,0.000939050248039136,0.00436971382087545,0.00282044565726842,2238,"tags=26%, list=13%, signal=23%","55753/2098/8801/4967/2805/6392/230/8310/26275/128/275/5091/2747/3098/84706/847/2806/3417/4329/3419/4190/83440/8803/84693/2746/51/5095/39"
"hsa04110","hsa04110","Cell cycle",146,0.437043727474124,1.53692574291572,0.000967358370162526,0.00444221146298318,0.00286723949050943,3022,"tags=32%, list=18%, signal=27%","7040/1030/994/991/9232/5347/1029/113130/1031/9212/890/7533/9700/8318/1869/898/1870/995/81620/699/1032/983/4175/9088/5526/4172/4174/10403/10459/1647/8317/701/11200/4176/9319/9134/990/246184/157570/8900/9133/7042/1111/894/1019/891/8379"
"hsa00410","hsa00410","beta-Alanine metabolism",31,-0.493956178735817,-1.92160906630442,0.00101610215055283,0.0045027816898453,0.00290633473571677,1453,"tags=39%, list=9%, signal=35%","8310/1962/23417/26275/55748/4329/501/1807/51/223/224/18"
"hsa05143","hsa05143","African trypanosomiasis",36,0.586431906914479,1.78324877988424,0.00101925430801656,0.0045027816898453,0.00290633473571677,5051,"tags=72%, list=30%, signal=50%","5330/7412/3910/3586/3606/3383/3593/5331/169355/54106/3620/3553/3040/3569/8542/7124/3592/3827/3043/356/5582/3039/3458/6401/5579/335"
"hsa04010","hsa04010","MAPK signaling pathway",294,0.380900582671403,1.38150475074951,0.00100425717677853,0.0045027816898453,0.00290633473571677,4849,"tags=40%, list=29%, signal=29%","5159/7040/25780/2324/5155/115727/4803/929/409/1436/7786/994/7010/8817/5778/84867/5880/1435/7048/285/5156/2321/11184/3791/9448/3082/2323/3481/4208/8911/784/1326/22808/9261/10235/51378/5924/1848/3925/2322/5971/1647/7186/1849/10125/4772/782/1852/4294/2254/2668/1943/3310/5228/5595/7424/93589/1649/2260/773/6300/55799/5321/3654/3553/2002/5801/4791/4296/7046/7042/4215/7132/9064/7124/9020/1847/1850/8517/7423/1432/9344/9965/6789/356/4914/3815/2252/59285/26291/5923/2069/5601/5582/5598/778/80310/4915/3551/59283/5566/5623/23162/4233/775/627/2246/374/3315/836/3265/8986/5600/8074/2122/9048/51135/5970"
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway",69,0.491444897597852,1.62187388365763,0.00115909906293609,0.00505656966205869,0.00326377894037268,4972,"tags=54%, list=30%, signal=38%","197259/114548/3428/6351/3606/81030/4210/9447/9560/10623/25939/834/11035/3661/6352/4793/3553/90865/3569/4792/29108/8517/8772/5441/3665/5437/3627/79792/5435/841/3551/51428/3456/836/51082/5970/3452"
"hsa05222","hsa05222","Small cell lung cancer",92,0.467223627170439,1.5929030618067,0.00136457735236306,0.005879475258947,0.00379492597018446,3027,"tags=34%, list=18%, signal=28%","1282/10319/1284/3908/2335/1030/3910/7185/3912/79444/1869/898/1870/1286/7188/5293/1164/1647/7186/578/3674/8503/581/9134/330/1285/3915/4792/3688/1019/8517"
"hsa00071","hsa00071","Fatty acid degradation",41,-0.448473570193707,-1.82662617063408,0.00144171447237077,0.00613607744948046,0.0039605506686437,2457,"tags=41%, list=15%, signal=35%","2180/131/113612/33/1376/8310/1962/34/128/30/36/2181/501/51/223/224/39"
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids",23,-0.547840013518707,-1.97116938908573,0.00149173709270513,0.00627248488378421,0.0040485952801382,1453,"tags=48%, list=9%, signal=44%","641371/3992/8310/9524/9415/30/6319/60481/79993/51/6342"
"hsa05417","hsa05417","Lipid and atherosclerosis",205,0.399618400035893,1.4238382330038,0.00154946643240655,0.00643766410607006,0.00415521073352132,5272,"tags=45%, list=32%, signal=31%","5330/4846/23643/4689/4688/4973/929/7412/6403/653361/1536/6348/4067/1535/114548/7097/9138/4318/959/3606/10333/4314/5293/5335/414062/6349/3383/3593/7186/4772/5331/7409/834/3310/6347/5595/1649/8503/581/1548/6300/7410/3661/6352/3654/3553/387/5468/3929/3569/4792/3306/29108/7132/7124/8517/1432/3592/1549/142678/3665/808/356/572/7099/1559/51806/5601/353376/177/637/841/3551/1555/3456/815/958/836/3265/5600/6401/51135/5970/3452/4773/10451/7187/335/5606/5296/19/338/208"
"hsa00330","hsa00330","Arginine and proline metabolism",44,-0.411590501792529,-1.75269647841355,0.00161978834378572,0.00665066037624961,0.00429268985226185,1896,"tags=36%, list=11%, signal=32%","6611/4953/548596/2805/1159/1152/79814/55748/2806/4842/501/8659/384/262/223/224"
"hsa04926","hsa04926","Relaxin signaling pathway",127,0.438029327376618,1.53147362643041,0.00185774406137029,0.00753898462114224,0.00486606155609844,3124,"tags=30%, list=19%, signal=24%","1277/1281/1278/7040/1282/5330/4846/1284/4313/196883/409/2793/109/113/59345/7048/399694/4318/2791/115/1286/3640/5293/54331/5331/6464/9586/5595/7424/8503/6300/1285/59350/4792/7046/7423/94235/1432"
"hsa04621","hsa04621","NOD-like receptor signaling pathway",168,0.414840015020978,1.46668319814083,0.00194427064531,0.00779943051969185,0.0050341671880985,5147,"tags=50%, list=31%, signal=35%","51393/5330/84674/9051/64170/22861/1536/58484/63940/1535/114548/100506742/10392/3428/114769/115362/84168/3606/7188/4210/9447/7186/5331/3455/834/7226/2633/2634/11035/345611/6347/171389/115361/5595/5585/440738/330/6300/3661/6352/4793/838/3553/387/22900/3569/10616/4792/81858/29108/7124/8517/5027/1432/3716/8772/3665/1508/4940/7099/79792/4938/5601/55072/7295/8767/841/7297/3551/837/4671/3456/64127/7419/5600/6773/51135/5970/3452/7187/7205/1670/260434/1671"
"hsa05162","hsa05162","Measles",127,0.435990803403361,1.5243463737403,0.00210385579739818,0.00834370083286325,0.0053854681895121,4121,"tags=42%, list=25%, signal=32%","2213/3559/3718/27113/4478/7097/30835/51284/898/6504/4600/5293/3593/940/916/915/3561/3455/3310/54106/6776/578/4599/8503/581/917/9134/3661/4793/3654/3553/3569/4792/8667/3560/894/1019/8517/3592/3716/8772/3665/4940/356/572/7099/868/4938/5601/637/841/7297/3551"
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism",30,-0.49416903312443,-1.9110521941646,0.00226630942647955,0.00881846290967224,0.00569190487911283,2658,"tags=47%, list=16%, signal=39%","5162/587/1737/55753/51166/4967/2805/55526/84706/2806/3417/3419/1629/594"
"hsa04660","hsa04660","T cell receptor signaling pathway",118,0.449690570363045,1.56060116318271,0.00227410218301003,0.00881846290967224,0.00569190487911283,3124,"tags=36%, list=19%, signal=30%","2534/920/3937/84433/27040/7535/3586/1493/959/1326/3702/919/29851/5133/5526/5293/5788/5335/940/10125/4772/916/915/7409/5595/8503/917/6300/7410/9402/5521/4793/387/5588/8440/4792/28227/7124/1019/3932/9020/8517/1432"
"hsa04148","hsa04148","Efferocytosis",154,0.419421254000212,1.47757542917661,0.00231942368343278,0.00889537214854989,0.00574154619149352,3176,"tags=29%, list=19%, signal=23%","7040/23166/8578/5175/84868/714/9844/4240/712/713/1901/5031/126129/29933/2621/8877/558/89790/3586/140885/9023/9261/7057/55423/4776/1849/4772/4035/10326/834/5595/10062/1375/6376/2057/6300/5468/1051/84465/1847/1850/3693/1432/63982"
"hsa05414","hsa05414","Dilated cardiomyopathy",104,0.439896404812703,1.51110075242694,0.00256814065017065,0.0097421857272778,0.00628812470407917,4305,"tags=43%, list=26%, signal=32%","7040/22801/196883/3908/109/113/3676/8515/784/115/782/7170/60/3695/3674/7139/93589/4000/3678/3672/3679/55799/3688/7042/6641/71/7124/3693/4607/7134/8516/5350/59285/2010/7171/6547/778/7137/3680/183/59283/5566/111/775/284217"
